gene,description,colors
107292023,receptor-type tyrosine-protein phosphatase O-like,blue
107292024,PRA1 domain family member 2,blue
107292025,COMM domain containing 9,purple
107292026,low density lipoprotein receptor class A domain containing 3,red
107292027,SAM pointed domain containing ETS transcription factor,turquoise
107292028,chromosome unknown open reading frame human C6orf106,brown
107292029,protein kinase C and casein kinase substrate in neurons 1,tan
107292030,INO80 complex subunit,brown
107292031,delta(4)-desaturase sphingolipid 1,grey60
107292032,uncharacterized LOC107292032,pink
107292033,ATPase Na+/K+ transporting subunit beta 3,black
107292034,glycerol kinase 5 (putative),turquoise
107292035,5'-3' exoribonuclease 1,brown
107292036,WD repeat domain 45,blue
107292037,plastin-1,green
107292038,G protein-coupled receptor kinase 7-like,brown
107292039,ATR serine/threonine kinase,blue
107292040,TBC1 domain family member 8B,turquoise
107292041,VMA21 vacuolar H+-ATPase homolog (S. cerevisiae),turquoise
107292042,high mobility group box 3,darkred
107292043,myotubularin-related protein 1,yellow
107292044,circadian locomoter output cycles protein kaput-like,salmon
107292045,myotubularin-related protein 1-like,blue
107292046,myotubularin 1,yellow
107292047,GRIP1 associated protein 1,yellow
107292048,mastermind like domain containing 1,blue
107292049,heat shock transcription factor Y-linked-like,darkred
107292050,transmembrane protein 185A,black
107292051,uncharacterized LOC107292051,midnightblue
107292052,protein CXorf40A-like,black
107292053,protein CXorf40A-like,pink
107292054,msh homeobox 2,midnightblue
107292055,solute carrier family 41 member 3,turquoise
107292056,carbohydrate sulfotransferase 11-like,blue
107292057,transcription factor binding to IGHM enhancer 3,yellow
107292058,lactation elevated 1,pink
107292059,sorting nexin 3,darkred
107292060,osteopetrosis associated transmembrane protein 1,brown
107292061,SEC63 homolog protein translocation regulator,turquoise
107292064,metalloprotease TIKI1-like,greenyellow
107292065,insulin like growth factor 2 receptor,turquoise
107292066,solute carrier family 22 member 2-like,greenyellow
107292069,solute carrier family 22 member 3,turquoise
107292070,plasminogen,green
107292071,mitogen-activated protein kinase kinase kinase 4,yellow
107292072,exocyst complex component 3,lightcyan
107292073,cordon-bleu WH2 repeat protein,pink
107292074,zinc finger protein 726-like,blue
107292075,H-2 class II histocompatibility antigen A-D beta chain-like,royalblue
107292076,rano class II histocompatibility antigen A beta chain-like,royalblue
107292077,zinc finger protein 397-like,magenta
107292078,DLA class II histocompatibility antigen DR-1 beta chain-like,greenyellow
107292079,serine/threonine kinase 32A,blue
107292080,caspase recruitment domain family member 9,black
107292081,serologically defined colon cancer antigen 3,darkred
107292082,protein phosphatase 1 regulatory subunit 26,cyan
107292086,peptidase (mitochondrial processing) alpha,purple
107292087,olfactomedin 1,blue
107292088,eukaryotic elongation factor 2 kinase,yellow
107292089,cerebellar degeneration related protein 2,turquoise
107292090,FtsJ RNA methyltransferase homolog 1 (E. coli),darkgrey
107292091,transmembrane protein 180,turquoise
107292092,methyltransferase like 9,turquoise
107292093,crystallin mu,blue
107292094,cytochrome b-c1 complex subunit 2 mitochondrial,brown
107292095,chromosome unknown open reading frame human C16orf52,black
107292096,von Willebrand factor A domain containing 3A,pink
107292099,polymerase (RNA) III subunit E,turquoise
107292100,coiled-coil domain containing 120,darkgrey
107292103,transmembrane protein 241,turquoise
107292104,polypeptide N-acetylgalactosaminyltransferase 6,magenta
107292105,bridging integrator 2,white
107292106,DAZ associated protein 2,yellow
107292107,small cell adhesion glycoprotein,brown
107292108,transcription factor CP2,turquoise
107292110,nuclear envelope integral membrane protein 2-like,turquoise
107292111,aquaporin-5-like,blue
107292112,POU class 6 homeobox 1,turquoise
107292113,CLPTM1-like,turquoise
107292114,telomerase reverse transcriptase,blue
107292115,sodium-dependent neutral amino acid transporter B(0)AT3-like,pink
107292116,lysophosphatidylcholine acyltransferase 1,magenta
107292119,nuclear transcription factor X-box binding like 1,turquoise
107292120,major facilitator superfamily domain containing 6,yellow
107292121,transmembrane protein 165,turquoise
107292122,clock circadian regulator,turquoise
107292123,steroid 5 alpha-reductase 3,turquoise
107292124,membrane-spanning 4-domains subfamily A member 15-like,pink
107292125,membrane-spanning 4-domains subfamily A member 15-like,darkred
107292126,membrane-spanning 4-domains subfamily A member 8-like,pink
107292127,membrane-spanning 4-domains subfamily A member 15-like,darkturquoise
107292128,3-hydroxyisobutyryl-CoA hydrolase mitochondrial-like,turquoise
107292129,solute carrier family 19 member 1,blue
107292130,collagen type XVIII alpha 1,yellow
107292131,nucleoside diphosphate-linked moiety X motif 8-like,tan
107292132,membrane-spanning 4-domains subfamily A member 12-like,yellow
107292133,leucine rich repeat containing 7,greenyellow
107292134,leucine rich repeat containing 40,pink
107292135,CTR9 homolog Paf1/RNA polymerase II complex component,turquoise
107292136,lymphatic vessel endothelial hyaluronan receptor 1,darkred
107292137,ring finger protein 141,turquoise
107292138,adenosine monophosphate deaminase 3,yellow
107292139,tetraspanin 4,darkred
107292140,eukaryotic translation initiation factor 4 gamma 2,turquoise
107292141,murine retrovirus integration site 1 homolog,blue
107292142,prostate transmembrane protein androgen induced 1,midnightblue
107292143,transcriptional repressor CTCFL-like,red
107292144,phosphoenolpyruvate carboxykinase cytosolic [GTP],greenyellow
107292145,AT-rich interaction domain 1B,yellow
107292146,transmembrane protein 242,turquoise
107292147,zinc finger DHHC-type containing 14,turquoise
107292148,sorting nexin 9,blue
107292149,uncharacterized LOC107292149,turquoise
107292150,chitinase domain containing 1,turquoise
107292151,neuronal pentraxin-1-like,blue
107292154,cytohesin-2,tan
107292156,leucine rich repeat containing 1,brown
107292157,kelch like family member 31,red
107292158,glutamate-cysteine ligase catalytic subunit,salmon
107292159,ELOVL fatty acid elongase 5,magenta
107292160,uncharacterized LOC107292160,turquoise
107292161,F-box protein 9,turquoise
107292162,intestinal cell (MAK-like) kinase,yellow
107292163,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon-like,turquoise
107292164,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon-like,turquoise
107292166,glutathione S-transferase 3-like,magenta
107292167,adaptor related protein complex 2 alpha 2 subunit,yellow
107292168,DDB1- and CUL4-associated factor 7-like,tan
107292169,sphingosine-1-phosphate lyase 1,turquoise
107292170,microsomal triglyceride transfer protein large subunit-like,blue
107292171,pterin-4 alpha-carbinolamine dehydratase 1,turquoise
107292172,FRAS1-related extracellular matrix protein 2-like,midnightblue
107292173,GRB2 associated binding protein 1,blue
107292174,SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily a member 5,blue
107292175,cyclin G associated kinase,salmon
107292176,phosphatidylinositol glycan anchor biosynthesis class G,yellow
107292177,myosin light chain 5,red
107292178,ATP synthase H+ transporting mitochondrial Fo complex subunit E,lightgreen
107292179,uncharacterized LOC107292179,red
107292180,transmembrane protein 175,yellow
107292181,potassium channel subfamily K member 16-like,darkred
107292182,dishevelled-binding antagonist of beta-catenin 1,tan
107292184,translocase of outer mitochondrial membrane 20 like,purple
107292185,KIAA0586 ortholog,green
107292186,translocase of inner mitochondrial membrane 9,orange
107292187,AT-rich interaction domain 4A,pink
107292188,proteasome subunit alpha 3,orange
107292189,coiled-coil domain containing 175,red
107292190,pellino E3 ubiquitin protein ligase family member 2,black
107292191,C-type lectin domain family 2 member D-like,magenta
107292192,nicotinamide nucleotide adenylyltransferase 3,brown
107292193,discoidin domain receptor tyrosine kinase 1,greenyellow
107292194,SLIT-ROBO Rho GTPase activating protein 3,turquoise
107292195,ATPase family AAA domain-containing protein 5-like,blue
107292196,cytokine receptor-like factor 3,yellow
107292197,SUZ12 polycomb repressive complex 2 subunit,darkred
107292198,UTP6 small subunit processome component,darkgrey
107292200,RIO kinase 3,darkred
107292201,endo-beta-N-acetylglucosaminidase,brown
107292202,C1q and tumor necrosis factor related protein 1,blue
107292203,calcium activated nucleotidase 1,turquoise
107292204,TIMP metallopeptidase inhibitor 2,blue
107292205,ubiquitin specific peptidase 36,darkgrey
107292207,RNA-directed DNA polymerase homolog,darkred
107292208,carboxymethylenebutenolidase homolog,turquoise
107292209,carboxymethylenebutenolidase homolog,greenyellow
107292210,membrane associated ring-CH-type finger 6,turquoise
107292211,retinol binding protein 2,red
107292212,rhophilin associated tail protein 1-like,cyan
107292213,small nuclear ribonucleoprotein U11/U12 48KDa subunit,green
107292214,MDS1 and EVI1 complex locus protein MDS1-like,green
107292215,MDS1 and EVI1 complex locus,blue
107292216,chromosome unknown open reading frame human C20orf194,blue
107292217,telomere maintenance 2,yellow
107292218,intraflagellar transport 140,cyan
107292219,cramped chromatin regulator homolog 1,brown
107292220,major facilitator superfamily domain-containing protein 1-like,black
107292221,retinol binding protein 1,pink
107292223,TBC1 domain family member 24,blue
107292224,amidohydrolase domain containing 2,yellow
107292225,UPF0488 protein CG14286-like,black
107292226,UPF0488 protein C8orf33 homolog,black
107292227,uncharacterized LOC107292227,red
107292228,hematological and neurological expressed 1-like,turquoise
107292229,ATPase H+ transporting V0 subunit c,turquoise
107292230,methylthioribose-1-phosphate isomerase 1,turquoise
107292231,RNA binding protein S1 serine-rich domain,yellow
107292232,transmembrane protein 204,turquoise
107292233,E3 ubiquitin-protein ligase parkin-like,turquoise
107292234,neuroligin-4 X-linked-like,blue
107292235,uncharacterized LOC107292235,pink
107292236,putative uncharacterized protein C6orf183,pink
107292237,forkhead box O3,brown
107292238,coiled-coil domain-containing protein 162-like,pink
107292239,centrosomal protein 57kDa-like 1,cyan
107292240,armadillo repeat containing 2,green
107292241,sestrin 1,black
107292242,protein nepro homolog,brown
107292243,cilia and flagella associated protein 44,pink
107292244,BOC cell adhesion associated oncogene regulated,blue
107292245,rho GTPase-activating protein 32-like,pink
107292247,coatomer protein complex subunit beta 2 (beta prime),turquoise
107292248,Rho GTPase activating protein 32,black
107292249,importin 4,brown
107292250,transmembrane 9 superfamily member 1,turquoise
107292251,magnesium-dependent phosphatase 1,red
107292252,guanosine monophosphate reductase 2,yellow
107292253,transglutaminase 1,blue
107292254,neural precursor cell expressed developmentally down-regulated 8,turquoise
107292255,fucosyltransferase 9 (alpha (13) fucosyltransferase),red
107292256,four and a half LIM domains 5,blue
107292257,UFM1-specific ligase 1,turquoise
107292258,mitochondrial ribosomal protein S22,lightgreen
107292259,isoleucyl-tRNA synthetase,turquoise
107292260,exostosin-1,black
107292261,mediator complex subunit 30,brown
107292262,uncharacterized LOC107292262,tan
107292264,guanylate cyclase activator 1B,darkgreen
107292265,TRAF3 interacting protein 3,royalblue
107292266,WD repeat domain 77,salmon
107292267,ATP synthase H+ transporting mitochondrial Fo complex subunit B1,orange
107292268,chromosome unknown open reading frame human C6orf132,turquoise
107292269,phosphatidylinositol-45-bisphosphate 3-kinase catalytic subunit beta,turquoise
107292270,interferon regulatory factor 6,blue
107292271,chromosome unknown open reading frame human C1orf74,turquoise
107292272,hydroxysteroid (11-beta) dehydrogenase 1,turquoise
107292273,fibulin-2-like,midnightblue
107292274,fibulin-2-like,black
107292275,cat eye syndrome chromosome region candidate 2,greenyellow
107292276,solute carrier family 25 (glutamate carrier) member 18,blue
107292277,microtubule associated monooxygenase calponin and LIM domain containing 3,red
107292278,BH3 interacting domain death agonist,darkturquoise
107292279,BCL2 like 13,turquoise
107292280,ATPase H+ transporting V1 subunit E1,orange
107292281,junctional adhesion molecule 2,blue
107292282,GA binding protein transcription factor alpha subunit,magenta
107292283,ATP synthase H+ transporting mitochondrial Fo complex subunit F6,lightgreen
107292284,amyloid beta precursor protein,blue
107292285,short transient receptor potential channel 4-like,black
107292286,cholinergic receptor muscarinic 3,turquoise
107292287,fibrillin 2,blue
107292288,amelogenin Y isoform-like,midnightblue
107292289,Kruppel-like factor 4 (gut),pink
107292290,zinc finger protein 462,turquoise
107292291,RAD23 homolog B nucleotide excision repair protein,brown
107292292,3'(2')5'-bisphosphate nucleotidase 1-like,turquoise
107292293,solute carrier family 30 member 10,magenta
107292294,lysophospholipase like 1,darkred
107292295,glutamyl-prolyl-tRNA synthetase,turquoise
107292296,3'(2') 5'-bisphosphate nucleotidase 1,turquoise
107292297,Niemann-Pick disease type C1,darkgrey
107292298,fibrillin-2-like,black
107292299,isoleucyl-tRNA synthetase 2 mitochondrial,yellow
107292300,RAB3 GTPase activating non-catalytic protein subunit 2,turquoise
107292301,collagen alpha-1(XI) chain-like,midnightblue
107292302,pancreatic alpha-amylase-like,red
107292303,pancreatic alpha-amylase-like,greenyellow
107292304,RNA binding region (RNP1 RRM) containing 3,skyblue
107292306,GC-rich promoter binding protein 1,turquoise
